4.77,1.2,0.57
0.11,2.75,4.35
2.48,4.74,3.3
4.68,1.52,2.3
4.51,4.64,1.46
2.13,3.57,3.93
4.71,0.29,4.19
4.19,2.73,1.95
0.9,0.61,1.83
0.9,0.64,4.4
1.06,4.15,2.26
3.71,4.79,4.22
0.55,2.16,4.35
2.28,1.18,0.81
0.12,4.21,3.06
3.12,0.97,3.38
3.57,4.56,0.75
3.79,1.48,0.82
3.88,1.05,2.31
3.1,0.07,1.71
2.77,1.43,4.79
0.12,0.2,4.91
2.38,3.81,3.72
1.84,3.44,4.05
0.26,4.78,1.17
3.04,3.82,2.71
2.3,2.25,0.48
1.86,1.04,1.58
2.6,3.36,0.03
3.32,3.64,3.32
3.47,0.19,0.63
2.31,2.69,1.04
2.08,3,1.59
2.7,4.62,2.94
1.98,4.16,1.32
0.08,0.45,0.73
2.76,0.91,0.16
4.88,1.36,0.28
1.59,0.44,1.91
1.74,3.36,0.32
2.18,4.09,2.35
1.1,3.94,0.77
1.62,0.88,4.66
4.5,1.84,1.67
2.78,4.79,4.74
2.95,4.07,0.39
0.81,3.05,1.03
2.33,4.41,0.95
2.8,2.33,2.83
3.09,2.3,3.45
2.86,4.49,0.6
1.17,0.53,1.89
3.53,2.8,1.62
4.44,2.87,1.26
4.62,4.48,2.37
3.87,0.05,2.89
2.06,2.5,1.13
0.01,4.12,1.36
4.85,1.8,2.76
4.78,4.57,3.83
0.96,2.19,4.09
3.22,0.58,2.82
2.13,0.63,1.35
4.72,2.23,3.12
1.44,2.69,1.75
0.4,3.44,1.11
3.27,0.37,0.29
1.03,3.75,0.04
4.26,4.32,1.32
3.66,4.3,0.33
2,4.76,2.65
3.87,4.78,4.06
2.72,0.28,1.37
0.23,2.69,3.81
1.6,4.19,2.57
3.05,4.64,0.16
4.67,1.36,4.25
0.1,2.91,4
4.91,2.52,4.76
2.2,1.11,4.42
4.92,1.33,4.81
3.54,1.31,1.9
4.46,2,4.1
1.46,1.51,0.3
2.42,1.83,0.47
1.62,1.93,0.81
1.5,3.8,4
2.85,0.8,2.88
1.52,2.77,2.16
2.99,3.15,3.65
2.12,2.99,1.29
0.92,3.16,0.51
2.65,0.16,2.27
3.97,1.15,4
2.95,0.25,3.34
4.28,3.37,3.66
0.87,4.8,1.35
4.35,2.32,4.64
1.93,1.07,0
1.76,2.61,2.02
1.31,4.96,2.42
3.59,4.86,0.09
2.6,2.9,3.32
3.17,4.45,1.1
4.12,3.55,1.75
3.48,3.27,2.98
1.88,2.41,1.91
1.92,2.6,0.17
4.37,4.12,4.8
4.71,3.12,0.8
4.96,0.17,2.79
3.23,2.73,0.24
4.08,4.57,1.52
0.35,3.96,2.87
3.88,3.39,2.42
3.73,4.12,3.82
1.71,1.28,4.11
2.64,3.56,4.64
4.34,1.34,1.01
1.27,0.02,2.44
1.54,1.48,3.97
0.29,0.83,4.07
3.93,3.68,1.22
2.76,1.53,2.57
3.66,1.53,4.38
4.57,0.73,4.51
3.84,3.5,3.96
4.12,3.85,2.36
4.71,0.34,0.96
2.86,2.51,4.79
1.53,0.17,2.09
1.54,2.7,0.04
4.67,0.83,4.94
3.56,4.47,0.97
2.26,4.15,3.49
2.67,2.2,4.14
4.34,1.21,2.82
4.64,3.34,2.82
4.87,4.94,2.87
3.23,1.3,3.36
0.41,0.78,1.51
3.5,4.96,2.03
0.24,0.52,4.09
4.67,2.06,0.84
2.04,3.93,1.02
1.28,0.95,2.54
2.23,0.71,1.55
4,3.99,0.76
3.58,2.91,0.84
3.91,3.34,0.36
3.91,0.81,0.59
4.03,2.61,2.09
0.35,4.13,1.54
1.86,1,4.01
4.97,4.74,1.83
0.43,0.92,2.89
0.29,0.41,0.22
4.25,0.01,2.18
0.31,3.42,3.76
3.86,0.94,2.07
4.2,2.36,4.34
4.03,4.25,4.93
4.97,2.61,2.46
3.97,3.93,1.06
3.05,0.52,2.57
0.85,3.5,1.62
2.25,3.63,4.56
0.56,4.16,2.94
1.3,3.69,2.98
4.66,1.73,4.95
0.76,1.96,3.34
1.69,0.76,1.95
3.18,1.39,4.4
2.31,0.15,3.75
2.41,0.91,2.14
2.86,0.98,4.22
3.1,4.67,1.88
3.19,0.77,2.29
0.84,0.63,2.76
1.59,1.43,3.43
0.1,3.01,2.41
1.84,1.93,2.99
0.02,1.87,1.5
1.24,4.74,2.1
2.53,0.81,1.78
0.78,4.52,4.67
0.23,0.54,2.62
0.06,3.14,1.06
1.83,0.25,3.62
0.18,4.84,3.35
4.44,0.14,1.2
0.4,2.86,1.33
4.25,2.79,3.05
1.43,1.19,1.33
1.19,2.56,2.52
1.38,0.23,0.72
0.94,3.87,3.44
1.06,3.18,0.27
0.25,4.68,4.26
0.15,0.88,1.59
0.55,3.79,0.33
2.39,1.4,1.6
4.99,0.57,0.37
3.07,0.56,3.16
0.15,1.14,2.23
3.54,4.85,3.39
4.76,1.19,4.37
3.18,4.33,0.5
2.74,3.7,3.47
4.57,4.62,0.3
2.4,3.5,1.35
2.44,4.2,3.27
2.84,2.68,2.43
0.29,0.16,2.87
3.88,2.85,1.81
