2 1 3,2 1 3,gun,gun,0.3,40
3 2 1,3 1 2,gun,hair,0.6,50
1 3 2,1 3 2,hair,sidepump,0.3,40
3 1 2,1 2 3,gun,dab,0.2,50
2 3 1,2 3 1,listen,listen,0.5,60
1 2 3,1 3 2,sidepump,sidepump,0.5,60
2 1 3,2 1 3,elbowkick,elbowkick,0.5,60
2 3 1,2 1 3,hair,listen,0.4,70
3 1 2,3 1 2,pointhigh,pointhigh,0.1,30
1 2 3,1 2 3,sidepump,gun,0.5,60
3 1 2,1 3 2,wipetable,listen,0.9,60
3 2 1,1 2 3,wipetable,wipetable,0.3,60
2 3 1,2 3 1,dab,dab,0.1,60
1 3 2,1 3 2,elbowkick,dab,0.8,60
2 1 3,2 3 1,hair,hair,0.3,60
1 2 3,1 2 3,wipetable,pointhigh,0.4,60
1 3 2,1 3 2,pointhigh,pointhigh,0.5,50
3 1 2,1 2 3,elbowkick,sidepump,0.3,70
3 2 1,3 2 1,wipetable,wipetable,0.2,80
2 3 1,2 1 3,logout,logout,0.1,90
